"Human Gene ID","Human Gene Name","Gene MIM Number","Cilia Related Process Pubmed ID","Synonym"
55835,"CENPJ","609279","30626697","CENPJ;CENPJ;ENSG00000151849; LAP; CPAP; LIP1; BM032; MCPH6; SASS4; SCKL4; Sas-4; CENP-J"
9662,"CEP135","611423","23115304","CEP135;CEP135;ENSG00000174799; CEP4; MCPH8; KIAA0635"
22995,"CEP152","613529","18854586","CEP152;CEP152;ENSG00000103995; MCPH4; MCPH9; SCKL5"
55125,"CEP192","616426","23932902","CEP192;CEP192;ENSG00000101639; PPP1R62"
11190,"CEP250","609689","27818179","CEP250;CEP250;ENSG00000126001; CEP2; CNAP1; C-NAP1; CRDHL2"
55165,"CEP55","610000","33475699","CEP55;CEP55;ENSG00000138180; CT111; MARCH; URCC6; C10orf3"
80321,"CEP70","614310","19254375","CEP70;CEP70;ENSG00000114107; BITE"
55722,"CEP72","616475","22767577, 32402286",NA
84131,"CEP78","617110","34259627","CEP78;CEP78;ENSG00000148019; IP63; CRDHL; C9orf81"
84902,"CEP89","615470","23789104","CEP89;CEP89;ENSG00000121289; CEP123; CCDC123"
79598,"CEP97","615864","17719545","CEP97;CEP97;ENSG00000182504; LRRIQ2; 2810403B08Rik"
1068,"CETN1","603187","23641067, 21953912","CETN1;CETN1;ENSG00000177143; CEN1; CETN"
23332,"CLASP1","605852","33860332","CLASP1;CLASP1;ENSG00000074054; MAST1"
1213,"CLTC","118955","32811879","CLTC;CLTC;ENSG00000141367; Hc; CHC; CHC17; MRD56; CLH-17; CLTCL2"
1261,"CNGA3","600053","23329832","CNGA3;CNGA3;ENSG00000144191; CNG3; ACHM2; CCNC1; CCNCa; CNCG3; CCNCalpha"
1262,"CNGA4","609472","16980309 *","CNGA4;CNGA4;ENSG00000132259; CNG4; CNG5; CNCA2; CNG-4; CNGB2; OCNC2; OCNCb; OCNCBETA"
11064,"CNTRL","605496","27340223","CNTRL;CNTRL;ENSG00000119397; FAN; CEP1; CEP110; bA165P4.1"
1452,"CSNK1A1","600505","21695114","CSNK1A1;CSNK1A1;ENSG00000113712; CK1; CK1a; CKIa; HLCDGP1; PRO2975; HEL-S-77p"
1453,"CSNK1D","600864","24648492","CSNK1D;CSNK1D;ENSG00000141551; ASPS; CKId; HCKID; FASPS2; CKIdelta; CKI-delta"
