"Human Gene ID","Human Gene Name","Gene MIM Number","Cilia Related Process Pubmed ID","Synonym"
122046,"TEX26","No MIM ID","25962172 *","TEX26;TEX26;ENSG00000175664; C13orf26"
642987,"TMEM232","No MIM ID","34318869",NA
71097109,"TRAPPC10","602103","21273506",NA
27095,"TRAPPC3","610955","21273506","TRAPPC3;TRAPPC3;ENSG00000054116; BET3"
83696,"TRAPPC9","611966","21273506","TRAPPC9;TRAPPC9;ENSG00000167632; T1; IBP; NIBP; MRT13; TRS120; IKBKBBP"
9321,"TRIP11","604505","19112494","TRIP11;TRIP11;ENSG00000100815; ODCD; ACG1A; CEV14; ODCD1; GMAP210; TRIP-11; TRIP230; GMAP-210"
6738,"TROVE2","600063","21289087","RO60;TROVE2;ENSG00000116747; SSA2; RORNP; TROVE2"
199223,"TTC21A","611430","30929735","TTC21A;TTC21A;ENSG00000168026; STI2; Thm2; SPGF37; IFT139A"
92104,"TTC30A","No MIM ID","20534810","TTC30A;TTC30A;ENSG00000197557; FAP259; IFT70A; TTC30B"
150737,"TTC30B","No MIM ID","20534810","TTC30B;TTC30B;ENSG00000196659; IFT70; fleer; IFT70B"
54777,"TTC40","618543","32616903","CFAP46;TTC40;ENSG00000171811; TTC40; C10orf92; C10orf93; C10orf123; C10orf124; bA288G11.4; bA288G11.5; bB137A17.2; bB137A17.3"
7272,"TTK","604092","23388454","TTK;TTK;ENSG00000112742; ESK; PYT; CT96; MPH1; MPS1; MPS1L1"
164714,"TTLL8","619193","25180231",NA
7275,"TUB","601197","20889716","TUB;TUB;ENSG00000166402; rd5; RDOB"
7846,"TUBA1A","602529","26493046","TUBA1A;TUBA1A;ENSG00000167552; LIS3; TUBA3; B-ALPHA-1"
10376,"TUBA1B","602530","24760594","TUBA1B;TUBA1B;ENSG00000123416; K-ALPHA-1"
84790,"TUBA1C","No MIM ID","31951202 *","TUBA1C;TUBA1C;ENSG00000167553; TUBA6; bcm948"
113457,"TUBA3D","617878","32616903 *","TUBA3D;TUBA3D;ENSG00000075886; KTCN9; TUBA2; H2-ALPHA"
203068,"TUBB","191130","23604077","TUBB;TUBB;ENSG00000196230; M40; TUBB1; TUBB5; CDCBM6; CSCSC1; OK/SW-cl.56"
10382,"TUBB4A","602662","33674599","TUBB4A;TUBB4A;ENSG00000104833; DYT4; TUBB4; beta-5"
10383,"TUBB4B","602660","32811879","TUBB4B;TUBB4B;ENSG00000188229; Beta2; TUBB2; LCAEOD; TUBB2C"
10844,"TUBGCP2","617817","28560031","TUBGCP2;TUBGCP2;ENSG00000130640; ALP4; GCP2; GCP-2; SPC97; h103p; hGCP2; SPBC97; Spc97p; hSpc97; Grip103; PAMDDFS"
56995,"TULP4","619442","21722349","TULP4;TULP4;ENSG00000130338; TUSP"
79770,"TXNDC15","617778","27894351","TXNDC15;TXNDC15;ENSG00000113621; BUG; MKS14; UNQ335; C5orf14"
7320,"UBE2B","179095","31235600","UBE2B;UBE2B;ENSG00000119048; HR6B; UBC2; HHR6B; RAD6B; E2-17kDa"
54986,"ULK4","617010","27445138","ULK4;ULK4;ENSG00000168038; FAM7C1; REC01035"
8237,"USP11","300050","31835165","USP11;USP11;ENSG00000102226; UHX1"
57216,"VANGL2","600533","25024228","VANGL2;VANGL2;ENSG00000162738; LPP1; LTAP; STB1; STBM; STBM1"
7419,"VDAC3","610029","23388454","VDAC3;VDAC3;ENSG00000078668; VDAC-3; HD-VDAC3"
7428,"VHL","608537","16775032, 34002003","VHL;VHL;ENSG00000134086; RCA1; VHL1; pVHL; HRCA1"
126820,"WDR63","617968","30060180","DNAI3;WDR63;ENSG00000162643; DIC3; WDR63; NYD-SP29"
144406,"WDR66","618146","30122540","CFAP251;WDR66;ENSG00000158023; WDR66; SPGF33; CaM-IP4"
164781,"WDR69","No MIM ID","20568242, 21953912","DAW1;WDR69;ENSG00000123977; ODA16; WDR69; DNAAF18"
80217,"WDR96","617558","31004071","CFAP43;WDR96;ENSG00000197748; WDR96; HYDNP1; SPGF19; C10orf79; bA373N18.2"
49856,"WRAP73","606040","26675238","WRAP73;WRAP73;ENSG00000116213; WDR8"
25937,"WWTR1","607392","25849865","WWTR1;WWTR1;ENSG00000018408; TAZ"
90522,"YIF1B","619109","33103737","YIF1B;YIF1B;ENSG00000167645; FinGER8; KABAMAS"
79740,"ZBBX","No MIM ID","33771330",NA
84936,"ZFYVE19","619635","33853651","ZFYVE19;ZFYVE19;ENSG00000166140; ANCHR; PFIC9; MPFYVE"
84217,"ZMYND12","No MIM ID","21953912",NA
